85,,グリーンネット,ごぼうささがき,100ｇ,85,120,35,29.17,3日,─,─,65/100g,グリーンネット,,,,,84,322,126,311,254,2,1
86,,グリーンネット,れんこんスライス,100ｇ,185,249,64,25.7,─,─,─,66/100g,グリーンネット,,,,,84,322,126,311,254,2,1
87,,奈良コープ産業,天ぷら盛り合わせ,60g,189,258,69,26.74,平成26年12月31日,─,小麦・卵・えび,─,奈良コープ産業,,,,,87,0,245,125,107,2,3
88,,志のぶ,幕の内弁当（鮭）,１パック,193,278,85,30.58,当日,着色料:黄4・黄5,小麦・卵・乳,503/1食,志のぶ商事北陸,,,,,88,132,245,125,107,2,3
89,,志のぶ,４色ミックスサンド,１パック,142.8,199,56.2,28.24,当日,─,小麦・卵・乳,,志のぶ商事北陸,,,,,89,0,352,128,63,2,3
90,,しゃりー,とろろ昆布おむすび黒,1個,78.2,99,20.8,21.01,当日,─,1枠で,,志のぶ商事北陸,,,,,90,132,352,128,63,2,3
91,,しゃりー,とろろ昆布おむすび白,1個,78.2,99,20.8,21.01,当日,─,─,,志のぶ商事北陸,,,,,90,132,352,128,63,2,3
92,,カネハツ食品,ｻﾗﾀﾞがあったら!ハムマカロニサラダﾐﾆ,110g,92,128,36,28.13,45日,─,小麦・卵・乳,177/100g,全日本食品,,,,,92,0,479,128,63,2,3
93,,Ｊ－ＦＯＯＤ,肉じゃが,190ｇ,128,180,52,28.89,60日,─,小麦・乳,292/1ﾊﾟｯｸ,全日本食品,,,,,93,132,479,128,63,2,3
94,,フジフレッシュ,豆腐ハンバーグじゃこわかめ,1個,80,108,28,25.93,26日,─,小麦,84/1個,全日本食品,,,,,94,0,479,87,113,2,7
95,,フジフレッシュ,豆腐ハンバーグ緑黄色野菜,1個,80,108,28,25.93,26日,─,─,77/1個,全日本食品,,,,,94,0,479,87,113,2,7
96,,ふじっこ,ごま昆布,87ｇ,151,198,47,23.74,120日,─,小麦,184/100g,全日本食品,,,,,96,93,479,87,113,2,9
97,,ふじっこ,しそ昆布,87g,151,198,47,23.74,120日,─,小麦,164/100g,全日本食品,,,,,97,93,479,87,113,2,9
98,,やまは食品,さつま揚げ（角天）,4枚入,96,128,32,25,6日,─,─,─,全日本食品,,,,,98,176,479,87,113,2,6
99,,やまは食品,ごぼう天（棒天）,4本入,96,128,32,25,6日,─,─,─,全日本食品,,,,,98,176,479,87,113,2,6
100,,ミツカン,金のつぶパキッと！たれ　ほね元気,45g*3,54,75,21,28,9日,─,小麦,187/100g,全日本食品,,,,,100,258,479,62,117,2,5
101,,シマダヤ,３食焼そばソース付,150g*3,84,112,28,25,15日,─,小麦,123/1食,全日本食品,,,,,101,343,479,62,117,2,7
102,,東海漬物,きゅうりのキューちゃん,120ｇ,88,118,30,25.42,90日,─,小麦,39/100g,全日本食品,,,,,102,427,479,62,117,2,6
103,,やまう,旬菜紀行　福神漬,140g,60,80,20,25,120日,─,─,136/100g,全日本食品,,,,,102,427,479,62,117,2,6
104,,ナカヤマエッグ,白玉たまご　　Lサイズ,１０個,158,208,50,24.04,14日,─,卵,151/100g,ナカヤマエッグ,,,,,104,0,600,62,117,2,5
105,,アサダ食品,絹とうふ,150g*3,80,108,28,25.93,10日,─,─,約57/100g,全日本食品,,,,,105,71,600,62,117,2,5
106,,アサダ食品,一口がんも,５個,80,108,28,25.93,5日,─,─,─,全日本食品,,,,,106,132,600,62,117,2,5
107,,やまは食品,鯛ちくわ,4ﾎﾝ,66,88,22,25,6日,─,─,─,全日本食品,,,,,107,196,600,62,117,2,6
108,,梅かま,つるぎ焼かま,110ｇ,126,168,42,25,14日,─,小麦・卵,─,全日本食品,,,,,108,258,600,62,117,2,6
109,,堀川,野菜ｼｬｷｼｬｷ,4枚,135,180,45,25,9日,─,─,69/1枚,全日本食品,,,,,109,322,600,62,117,2,6
110,,堀川,調理済１人前おでん,450ｇ,150,205,55,26.83,60日,─,卵,140/1袋,全日本食品,,,,,110,386,600,62,117,2,6
